variant,model_id,num_seeds,avg_reward_mean,avg_reward_std,avg_cost_mean,avg_cost_std,avg_steps_mean,avg_steps_std,collision_rate_mean,collision_rate_std,offroad_rate_mean,offroad_rate_std
baseline,1,1,-104.05000305175781,0.0,8.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0
baseline,10,1,635.260009765625,0.0,8.880000114440918,0.0,219.1999969482422,0.0,0.05900000035762787,0.0,0.0,0.0
baseline,20,1,163.38999938964844,0.0,20.709999084472656,0.0,117.4000015258789,0.0,0.019999999552965164,0.0,0.0,0.0
baseline,30,1,63.650001525878906,0.0,7.559999942779541,0.0,257.3999938964844,0.0,0.0,0.0,0.0,0.0
baseline,40,1,752.5900268554688,0.0,10.399999618530273,0.0,236.8000030517578,0.0,0.0,0.0,0.0,0.0
baseline,50,1,282.45001220703125,0.0,14.460000038146973,0.0,209.0,0.0,0.0,0.0,0.004999999888241291,0.0
baseline,60,1,364.3900146484375,0.0,3.549999952316284,0.0,300.0,0.0,0.0,0.0,0.0,0.0
baseline,70,1,874.27001953125,0.0,5.599999904632568,0.0,300.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,216.10000610351562,0.0,10.680000305175781,0.0,240.8000030517578,0.0,0.020999999716877937,0.0,0.0,0.0
baseline,90,1,326.6499938964844,0.0,15.029999732971191,0.0,245.60000610351562,0.0,0.0,0.0,0.004000000189989805,0.0
baseline,100,1,887.510009765625,0.0,10.609999656677246,0.0,263.6000061035156,0.0,0.0,0.0,0.0,0.0
encoder_only,10,1,192.5399932861328,0.0,12.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0
encoder_only,20,1,-42.09000015258789,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0
encoder_only,30,1,-64.87999725341797,0.0,8.020000457763672,0.0,223.39999389648438,0.0,0.0,0.0,0.0,0.0
encoder_only,40,1,163.58999633789062,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0
encoder_only,50,1,139.77999877929688,0.0,4.0,0.0,268.20001220703125,0.0,0.0,0.0,0.0,0.0
encoder_only,60,1,196.55999755859375,0.0,12.079999923706055,0.0,207.8000030517578,0.0,0.0,0.0,0.0,0.0
encoder_only,70,1,584.8900146484375,0.0,4.449999809265137,0.0,267.3999938964844,0.0,0.0,0.0,0.0,0.0
encoder_only,80,1,281.0899963378906,0.0,8.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0
encoder_only,90,1,205.74000549316406,0.0,4.239999771118164,0.0,280.3999938964844,0.0,0.0,0.0,0.0,0.0
encoder_only,100,1,179.88999938964844,0.0,4.019999980926514,0.0,265.79998779296875,0.0,0.0,0.0,0.0,0.0
full,1,1,-87.43000030517578,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0
full,10,1,69.69999694824219,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0
full,20,1,33.31999969482422,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0
full,30,1,-100.47000122070312,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0
full,40,1,22.84000015258789,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0
full,50,1,159.49000549316406,0.0,8.0,0.0,236.8000030517578,0.0,0.0,0.0,0.0,0.0
full,60,1,98.80999755859375,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0
full,70,1,201.0500030517578,0.0,8.170000076293945,0.0,242.1999969482422,0.0,0.0,0.0,0.006000000052154064,0.0
full,80,1,-56.43000030517578,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0
full,90,1,309.9800109863281,0.0,0.009999999776482582,0.0,300.0,0.0,0.0,0.0,0.0,0.0
full,100,1,244.41000366210938,0.0,16.0,0.0,216.39999389648438,0.0,0.0,0.0,0.004000000189989805,0.0
