variant,seed,ckpt_dir,model_id,status,elapsed_s,avg_reward,avg_cost,avg_steps,collision_rate,offroad_rate
baseline,base,example\params_baseline,1,OK,38.844,-104.05,8.0,225.0,0.0,0.0
baseline,base,example\params_baseline,10,OK,35.02,635.26,8.88,219.2,0.059,0.0
baseline,base,example\params_baseline,20,OK,24.283,163.39,20.71,117.4,0.02,0.0
baseline,base,example\params_baseline,30,OK,39.372,63.65,7.56,257.4,0.0,0.0
baseline,base,example\params_baseline,40,OK,37.204,752.59,10.4,236.8,0.0,0.0
baseline,base,example\params_baseline,50,OK,34.283,282.45,14.46,209.0,0.0,0.005
baseline,base,example\params_baseline,60,OK,44.701,364.39,3.55,300.0,0.0,0.0
baseline,base,example\params_baseline,70,OK,44.28,874.27,5.6,300.0,0.0,0.0
baseline,base,example\params_baseline,80,OK,37.608,216.1,10.68,240.8,0.021,0.0
baseline,base,example\params_baseline,90,OK,38.414,326.65,15.03,245.6,0.0,0.004
baseline,base,example\params_baseline,100,OK,40.159,887.51,10.61,263.6,0.0,0.0
encoder_only,base,example\params_encoder_only,10,OK,34.775,192.54,12.0,213.0,0.0,0.0
encoder_only,base,example\params_encoder_only,20,OK,44.672,-42.09,0.0,300.0,0.0,0.0
encoder_only,base,example\params_encoder_only,30,OK,36.04,-64.88,8.02,223.4,0.0,0.0
encoder_only,base,example\params_encoder_only,40,OK,44.497,163.59,0.0,300.0,0.0,0.0
encoder_only,base,example\params_encoder_only,50,OK,43.244,139.78,4.0,268.2,0.0,0.0
encoder_only,base,example\params_encoder_only,60,OK,34.505,196.56,12.08,207.8,0.0,0.0
encoder_only,base,example\params_encoder_only,70,OK,41.126,584.89,4.45,267.4,0.0,0.0
encoder_only,base,example\params_encoder_only,80,OK,40.927,281.09,8.0,258.0,0.0,0.0
encoder_only,base,example\params_encoder_only,90,OK,43.716,205.74,4.24,280.4,0.0,0.0
encoder_only,base,example\params_encoder_only,100,OK,41.053,179.89,4.02,265.8,0.0,0.0
full,base,example\params_full,1,OK,45.021,-87.43,0.0,300.0,0.0,0.0
full,base,example\params_full,10,OK,45.152,69.7,0.0,300.0,0.0,0.0
full,base,example\params_full,20,OK,46.343,33.32,0.0,300.0,0.0,0.0
full,base,example\params_full,30,OK,44.005,-100.47,0.0,300.0,0.0,0.0
full,base,example\params_full,40,OK,44.278,22.84,0.0,300.0,0.0,0.0
full,base,example\params_full,50,OK,37.802,159.49,8.0,236.8,0.0,0.0
full,base,example\params_full,60,OK,44.862,98.81,0.0,300.0,0.0,0.0
full,base,example\params_full,70,OK,39.317,201.05,8.17,242.2,0.0,0.006
full,base,example\params_full,80,OK,44.979,-56.43,0.0,300.0,0.0,0.0
full,base,example\params_full,90,OK,44.897,309.98,0.01,300.0,0.0,0.0
full,base,example\params_full,100,OK,34.737,244.41,16.0,216.4,0.0,0.004
